series_name,Episode,series_ep,season,season_ep,url,UserRating,UserVotes,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10
Black Mirror,The National Anthem,1,1,1,http://www.imdb.com/title/tt2089051/?ref_=ttep_ep1,7.8,46006,0.027387732034951963,0.009259661783245663,0.011455027605094988,0.016150067382515326,0.03397382950049994,0.08205451462852671,0.20699473981654568,0.3158501065078468,0.1822805720992914,0.11459374864148154
Black Mirror,Fifteen Million Merits,2,1,2,http://www.imdb.com/title/tt2089049/?ref_=ttep_ep2,8.1,46033,0.010992114352746942,0.005604674907131841,0.00742945278387244,0.011991397475723937,0.02648100275889036,0.06834227619316577,0.16544652749114766,0.2777789846414529,0.24165272739121935,0.18428084200464884
Black Mirror,The Entire History of You,3,1,3,http://www.imdb.com/title/tt2089050/?ref_=ttep_ep3,8.6,46690,0.004583422574427072,0.002034696937245663,0.0028057399871492827,0.004626258299421718,0.01246519597344185,0.034461340758192335,0.10490469051188692,0.23906618119511672,0.33653887342043265,0.2585136003426858
Black Mirror,Be Right Back,4,2,1,http://www.imdb.com/title/tt2290780/?ref_=ttep_ep1,8.1,39168,0.004595588235294118,0.001736111111111111,0.0033956290849673203,0.006076388888888889,0.018918504901960783,0.06071282679738562,0.19332107843137256,0.3382352941176471,0.23442606209150327,0.1385825163398693
Black Mirror,White Bear,5,2,2,http://www.imdb.com/title/tt2542420/?ref_=ttep_ep2,8.0,39138,0.010577954928713782,0.00472686391742041,0.007384127957483775,0.011855485717205785,0.027594665031427257,0.07095405999284583,0.17348868107721396,0.2762788083192805,0.23652205018140937,0.18061730287699934
Black Mirror,The Waldo Moment,6,2,3,http://www.imdb.com/title/tt2386296/?ref_=ttep_ep3,6.7,32873,0.02083776959815046,0.012533081860493414,0.019986006753262557,0.04280108295561707,0.11002950749855504,0.22474371064399354,0.30334925318650563,0.16454232957138076,0.05734189152191768,0.04383536641012381
Black Mirror,White Christmas,7,2,4,http://www.imdb.com/title/tt3973198/?ref_=ttep_ep4,9.1,48461,0.003920678483729185,9.079465962320216e-4,0.0015476362435773096,0.002723839788696065,0.005406409277563401,0.013722374693052144,0.046057654608860736,0.13941107282144405,0.3009017560512577,0.48540063143558737
Black Mirror,Nosedive,8,3,1,http://www.imdb.com/title/tt5497778/?ref_=ttep_ep1,8.3,47108,0.008873227477286236,0.004288019020123971,0.005710282754521525,0.008767088392629702,0.018659251082618664,0.05054343211344146,0.13348051286405707,0.2784028190540885,0.2819266366646854,0.20934873057654751
Black Mirror,Playtest,9,3,2,http://www.imdb.com/title/tt5709242/?ref_=ttep_ep2,8.1,39501,0.006151742993848257,0.003189792663476874,0.005417584364952786,0.007873218399534188,0.021872863978127138,0.0635933267512215,0.1724766461608567,0.29262550315181896,0.24369003316371737,0.18310928837244628
Black Mirror,Shut Up and Dance,10,3,3,http://www.imdb.com/title/tt5709230/?ref_=ttep_ep3,8.5,40675,0.008875230485556239,0.0035156730178242165,0.0042778119237861095,0.007105101413644745,0.01622618315918869,0.04324523663183774,0.11677934849416104,0.24196681007990167,0.30726490473263673,0.2507437000614628
